FileName,LOSS,UD_P_SNR,UD_S_SNR,UD_P_CC,UD_S_CC,UD_N_CC,NS_P_SNR,NS_S_SNR,NS_P_CC,NS_S_CC,NS_N_CC,EW_P_SNR,EW_S_SNR,EW_P_CC,EW_S_CC,EW_N_CC
110904.002014_E.MOKM.npz,1.9127560240742458,16.425589323043823,14.416499137878418,0.9023573282232874,0.9005614180703461,0.04123418718336985,24.088308811187744,27.03049659729004,0.7289235358261023,0.9415818718876711,0.06910060921487383,24.485187530517578,27.536566257476807,0.7692261694578151,0.9162029468466255,0.062199063790835146
110904.002014_E.NKNM.npz,10.563234707749464,18.307515382766724,15.314220190048218,0.9774003537760787,0.9163207673654165,0.14742447753844537,20.953176021575928,23.037102222442627,0.9507972167983653,0.9538867376945298,0.39933603764033787,19.98378872871399,23.56942653656006,0.860711245457109,0.9081969484436834,0.33244190963244064
110904.002014_E.SNSM.npz,3.058372255077002,18.63321542739868,14.755333662033081,0.9767776759247044,0.9372846767995563,0.03571218922772494,24.787209033966064,26.986711025238037,0.8954866796509423,0.9839056827280916,0.08002845562191072,32.378880977630615,35.102951526641846,0.937035438216414,0.9819947360537532,0.07138878787061592
110904.002941_E.MD1M.npz,3.7333560168537514,12.858365774154663,4.073998332023621,0.8947955200882104,0.737118447728345,0.1392786633991528,5.519880652427673,6.784846782684326,0.7134371420638475,0.6383036357910984,0.4762239744621519,11.857271194458008,12.102689743041992,0.693097135527444,0.7305627632480554,0.5750092383754288
110904.002941_E.MOKM.npz,6.285102946064835,14.143762588500977,9.435421824455261,0.4271387395048035,0.5112806892233568,0.33682504370691874,19.046494960784912,22.13606357574463,0.4948778570371978,0.7782271812593423,0.37013797037603946,16.660406589508057,21.09020471572876,0.5264436034506679,0.6344024627567448,0.8923237129666572
110904.002941_E.SNSM.npz,4.638871660396332,17.66265869140625,10.252997875213623,0.5325790498259432,0.6656749031376576,0.1422856752240256,22.081353664398193,24.242968559265137,0.6214265646519215,0.8347208055730406,0.28468747431713526,24.89863872528076,28.770525455474854,0.5603168510495793,0.9094654931991142,0.20723157356706373
110904.002941_E.SSHM.npz,1.2828763471111493,16.311432123184204,11.11838698387146,0.8354623684133691,0.7532502558029067,0.017597435110643923,17.9068660736084,17.53032922744751,0.8283881525542928,0.821377208100289,0.10624317605224125,17.089011669158936,18.55747938156128,0.5534469529243199,0.820204202773437,0.0607558982207213
110904.003257_E.MOKM.npz,4.30975708055328,12.958143949508667,11.8429696559906,0.790068612464276,0.6888281797670628,0.16729282417363286,9.460482597351074,13.939849138259888,0.7482150631406279,0.9331214379877474,0.23688147059435988,18.102465867996216,23.281302452087402,0.5944556688077298,0.9487902813947421,0.29138448754154256
110904.003257_E.NKNM.npz,4.601655153353347,14.905140399932861,13.541686534881592,0.9251957370357441,0.9035935932824173,0.1259213680875797,12.601486444473267,18.00444483757019,0.7965045046103698,0.9538109620102452,0.23905601977251156,18.81090998649597,25.20442485809326,0.6282050407023783,0.977031224472217,0.1944020843283452
110904.003257_E.SNSM.npz,7.641602289401715,5.911091566085815,1.64699986577034,0.9328400374780168,0.8457980656162584,0.8223256505351255,5.11335015296936,7.922375798225403,0.862990002869985,0.9644151606010404,0.615630505145445,9.731019139289856,13.562958240509033,0.7427297924900778,0.978596037572935,0.6698925459133476
110904.004409_E.HSDM.npz,10.392420015009803,7.309640049934387,8.60755443572998,0.626913746921557,0.8956231928784709,0.1731178251586494,13.632092475891113,17.824000120162964,0.6320481560022837,0.9916487701044674,0.2079976585958413,24.68834400177002,27.41682529449463,0.6589663903245269,0.9690093591439968,0.7673015115321755
110904.004409_E.IIDM.npz,5.810950462483253,13.835244178771973,12.16774582862854,0.7326287813924248,0.7287708561973929,0.08239393826577032,21.493072509765625,27.64961004257202,0.7897201981647056,0.9622314770911143,0.2089509126820275,21.217262744903564,25.165164470672607,0.689062916161685,0.8459993540322248,0.31385036285268514
110904.004409_E.MD1M.npz,9.11823374717416,10.640850067138672,8.649229407310486,0.8391575192187064,0.8341050594429579,0.12330059353604245,16.84479832649231,22.330961227416992,0.58021008738959,0.8891325216179224,0.4770402496536904,18.36453914642334,23.467109203338623,0.7198480169884824,0.86221069748899,0.61813691736645
110904.004409_E.MOKM.npz,18.397749817195823,26.9051456451416,25.60462236404419,0.8999775014392327,0.8986314338334865,0.17005521984227526,31.32319927215576,34.38051462173462,0.8254307192682282,0.973522181422068,0.6587327784508757,24.09310817718506,26.268141269683838,0.8518279935658503,0.9482466649959854,0.3242905204714643
110904.004409_E.NKMM.npz,7.96776433527918,15.564507246017456,14.163727760314941,0.8021792732981464,0.9405051354901127,0.10631306777057044,21.113297939300537,23.327019214630127,0.5609414885148906,0.8727491515943713,0.3436166220508449,28.200039863586426,31.889216899871826,0.5136701832088294,0.7086183451771803,0.6420476751899145
110904.004409_E.NKNM.npz,14.597961975186513,19.01212453842163,13.182858228683472,0.8168495875472267,0.9105949370601166,0.8571728942609704,17.42214798927307,21.536216735839844,0.6529793110547851,0.8935200993708994,0.52869804597392,13.600778579711914,16.10530376434326,0.5614728581912366,0.7869074114248601,0.8571087297005068
